code_a,name_a,country_a,code_b,name_b,country_b,water_type,water_body,border_km,ne_cov,has_bridge,crossings,note
CHN019,Nei Mongol Zizhiqu,China,RUS014,Chitinskaya Oblast,Russian Federation,river,Argun’; Hailar; Heilong Jiang,1017.5,0.84,True,yes; 呼古尔推桥; 苏斯落瓦桥,osm
BRA004,Amazonas,Brazil,PER016,Loreto,Peru,river,Amazonas; Javari,1268.3,0.75,False,,verified:no-open-bridge
GUY004,East Berbice/corentyne (region N°6),Guyana,SUR009,Sipaliwini,Suriname,river,Corantijn; Courantyne; Kabalebo,699.5,0.89,False,,osm
USA044,Texas,United States of America,MEX028,Tamaulipas,Mexico,river,Rio Grande; San Juan,606.8,0.98,True,Anzalduas International Bridge; Carril SENTRI; FM 493; Free Trade International Bridge; Gateway International Bridge,osm
CAF004,Haut-Oubangui,Central African Republic,COD012,Bas-Uélé,Democratic Republic of Congo,river,Bomu; Chinko; Uele,989.0,0.99,False,,osm
FIN002,Lapland,Finland,SWE010,Norrbottens Laen,Sweden,river,Muonio; Tornelven,550.9,0.91,True,Finlandsvägen; Gränsbron; Handolinin silta; Kustaa II Aadolfin puistokatu; Ragnar Lassinanttis väg,osm
ZAF005,Limpopo,South Africa,BWA001,Central,Botswana,river,Limpopo; Marico; Mogalakwena,448.1,1.0,True,Platjanbrug; Road through Zanzibar border crossing; yes,osm
ETH006,Gambela,Ethiopia,SSD006,Pibor Administrative Area,South Sudan,river,Akobo,384.3,0.87,False,,verified:no-open-bridge
ZMB104,Luapula,Zambia,COD014,Haut-Katanga,Democratic Republic of Congo,river,Luapula; Luvua,825.8,0.71,True,Chembe Bridge; yes,osm
CHN017,Jilin Sheng,China,PRK002,Hamgyong-bukto,D. P. R. of Korea,river,Tumen,360.0,1.0,True,yes; 丹阿线; 图们江大桥/두만강대교; 남양국경선 南阳国境线; 도문대교/图们大桥,osm
BRA012,Mato Grosso Do Sul,Brazil,PRY001,Alto Paraguay,Paraguay,river,Paraná,331.0,0.94,False,,verified:no-open-bridge
COD013,Équateur,Democratic Republic of Congo,COG007,Likouala,Congo,river,Ubangi,316.1,0.67,False,,osm
MEX007,Chiapas,Mexico,GTM012,Petén,Guatemala,river,Chixoy; Usumacinta,304.6,0.99,False,,osm
ZMB109,Southern,Zambia,ZWE008,Matabeleland North,Zimbabwe,river,Chobe; Gwayi; Zambezi,275.0,1.0,True,Kazungula Bridge; Livingstone Way; Victoria Falls Bridge; yes,osm
CHN017,Jilin Sheng,China,PRK001,Chagang-do,D. P. R. of Korea,river,Yalu,270.2,1.0,True,yes; 下青线; 梅集线; 集安鸭绿江国境铁路大桥/지안압록강국경 철도대교; 북부내륙선,osm
CHN011,Heilongjiang Sheng,China,RUS030,Khabarovskiy Kray,Russian Federation,river,Amur; Bikin; Ussuri,246.8,0.93,False,,osm
MRT005,Gorgol,Mauritania,SEN014,Matam,Senegal,river,Sénégal,243.6,0.97,False,,verified:no-open-bridge
ZMB109,Southern,Zambia,ZWE011,Area under National Administration,Zimbabwe,river,Zambezi; Kariba Reservoir,232.6,0.99,False,,recheck2:tripoint-review:Kariba lake-zone tripoint
CIV031,Montagnes,Côte d'Ivoire,LBR012,Nimba,Liberia,river,Cess,210.0,0.94,True,yes,osm
GRC001,Anatoliki Makedonia Kai Thraki,Greece,TUR027,Edirne,Türkiye,river,Evros,206.2,0.96,True,Tarihî Maraş Köprüsü; viaduct; yes; İstanbul – Pythion demiryolu; Σιδηρόδρομος Κωνσταντινούπολης - Πυθίου,osm
HND015,Olancho,Honduras,NIC007,Jinotega,Nicaragua,river,Coco,199.2,0.76,False,,verified:no-open-bridge
CAF003,Fertit,Central African Republic,TCD018,Salamat,Chad,river,Aoukalé; Bahr Aouk,648.0,0.78,False,,osm
COG012,Sangha,Congo,GAB009,Woleu-Ntem,Gabon,river,Aïna,196.4,1.0,False,,osm
MOZ001,Cabo Delgado,Mozambique,TZA020,Mtwara,Tanzania,river,Ruvuma,188.8,0.9,True,Unity 1,osm
TKM003,Chardzhou,Turkmenistan,UZB007,Khorezm,Uzbekistan,river,Amu Darya,171.7,0.64,True,bridge; yes; Трубопроводный висячий мост через Амударью,osm
LAO003,Bolikhamxai,Lao People's Democratic Republic,THA034,Nong Khai,Thailand,river,Mekong,166.2,1.0,False,,verified:no-open-bridge
COL025,Putumayo,Colombia,PER016,Loreto,Peru,river,Putumayo,164.2,0.87,False,,osm
ZAF005,Limpopo,South Africa,BWA005,Kgatleng,Botswana,river,Limpopo; Marico; Notwani,153.0,1.0,False,,verified:no-open-bridge
CHN017,Jilin Sheng,China,PRK011,Yanggang-do,D. P. R. of Korea,river,Tumen; Yalu,420.1,0.78,True,yes; 丹阿线; 千年崖城風景區; 长惠国际大桥; 长白山南坡公路,osm
CMR004,Extrême - Nord,Cameroon,TCD008,Hadjer-Lamis,Chad,river,Chari,147.3,1.0,False,,verified:no-open-bridge
COD030,Tanganyika,Democratic Republic of Congo,TZA024,Rukwa,Tanzania,lake,Lake Tanganyika,142.9,1.0,False,,huge-lake/knowledge
ARG007,Corrientes,Argentina,BRA025,Rio Grande Do Sul,Brazil,river,Ibicuí; Uruguay,371.9,0.98,True,Ponte Internacional Getúlio Vargas-Agustín Pedro Justo; Ponte Internacional da Integração; Puente Internacional Getúlio Vargas-Agustín Pedro Justo; yes,osm
CMR004,Extrême - Nord,Cameroon,TCD004,Chari-Baguirmi,Chad,river,Logone,137.2,0.88,False,,verified:no-open-bridge
AGO013,Lunda Sul,Angola,COD024,Lualaba,Democratic Republic of Congo,river,Kasai,348.4,0.94,False,,osm
BFA002,Cascades,Burkina Faso,CIV033,Savanes,Côte d'Ivoire,river,Komoé,326.7,1.0,False,,verified:no-open-bridge
ETH006,Gambela,Ethiopia,SSD003,Jonglei,South Sudan,river,Akobo; Pibor; Sobat,136.3,1.0,False,,verified:no-open-bridge
NER002,Diffa,Niger,NGA008,Borno,Nigeria,river,Komadugu Yobe,314.3,0.9,False,,recheck2:False:no fixed bridge (Komadugu Yobe)
LAO006,Khammouan,Lao People's Democratic Republic,THA027,Nakhon Phanom,Thailand,river,Mekong,132.1,1.0,True,สะพานมิตรภาพไทย-ลาว แห่งที่ 3 (นครพนม-คำม่วน),osm
BEN002,Atacora,Benin,BFA008,Est,Burkina Faso,river,Oti,295.4,0.96,True,(web-verified),verified:open-bridge
AGO008,Cunene,Angola,NAM007,Kunene,Namibia,river,Cunene,124.5,1.0,False,,verified:no-open-bridge
COL033,Vichada,Colombia,VEN003,Apure,Republica Bolivariana de Venezuela,river,Meta; Orinoco,274.9,0.9,False,,osm
CAF004,Haut-Oubangui,Central African Republic,COD027,Nord-Ubangi,Democratic Republic of Congo,river,Bomu; Kotto; Uele,257.3,0.99,False,,osm
CAN009,Ontario,Canada,USA036,Ohio,United States of America,lake,Lake Erie,246.7,1.0,False,,huge-lake/knowledge
COD017,Ituri,Democratic Republic of Congo,UGA093,Ntoroko,Uganda,river,Semliki,115.1,0.87,False,,osm
BWA007,Ngamiland,Botswana,NAM001,Caprivi,Namibia,river,Cuando; Linyanti,242.4,0.63,False,,verified:no-open-bridge
MDA006,Cahul,Moldova,ROU019,Galaţi,Romania,river,Prut,113.4,1.0,True,bridge; yes,osm
RWA001,East/Iburasirazuba,Rwanda,TZA006,Kagera,Tanzania,river,Kagera,221.8,0.85,True,yes,osm
ROU027,Maramureş,Romania,UKR023,Zakarpats'ka,Ukraine,river,Tisza,110.1,0.62,True,411; Bocicoi – Великий Бичків (1891–1970); Bridge (destroyed); Cămara Sighet – Солотвино (1893–1939); Podul Academician Mihai Pop,osm
BFA013,Sud-ouest,Burkina Faso,GHA008,Upper West,Ghana,river,Mouhoun,209.0,0.95,False,,verified:no-open-bridge
BDI013,Muyinga,Burundi,TZA006,Kagera,Tanzania,river,Kagera,104.6,0.61,True,yes,osm
MDA030,Soroca,Moldova,UKR021,Vinnyts'ka,Ukraine,river,Dniester,101.0,1.0,False,,verified:no-open-bridge
UGA026,Buvuma,Uganda,UGA040,Kalangala,Uganda,lake,Lake Victoria,94.0,1.0,False,,huge-lake/knowledge
MOZ010,Tete,Mozambique,ZMB105,Lusaka,Zambia,river,Luangwa; Zambezi,93.3,1.0,False,,osm
USA023,Michigan,United States of America,USA024,Minnesota,United States of America,lake,Lake Superior,87.8,1.0,False,,huge-lake/knowledge
BRA020,Parana,Brazil,PRY007,Canindeyu,Paraguay,lake,Represa Itaipu,85.5,1.0,False,,huge-lake/knowledge
USA014,Illinois,United States of America,USA023,Michigan,United States of America,lake,Lake Michigan,83.0,1.0,False,,huge-lake/knowledge
ARG007,Corrientes,Argentina,URY001,Artigas,Uruguay,river,Uruguay,80.4,1.0,False,,osm
ZAF005,Limpopo,South Africa,ZWE009,Matabeleland South,Zimbabwe,river,Limpopo; Umzingwani,205.8,0.99,True,Harare-Beitbridge Highway; bridge; yes,osm
TZA016,Mara,Tanzania,TZA021,Mwanza,Tanzania,lake,Lake Victoria,196.9,1.0,False,,huge-lake/knowledge
HUN012,Komarom-esztergom,Hungary,SVK004,Nitra,Slovak Republic,river,Danube,77.8,0.65,True,Alžbetin most; Barátság híd; Erzsébet híd; Erzsébet híd / Alžbetin most; Komárňanský železničný most,osm
COD029,Sud-Ubangi,Democratic Republic of Congo,COG007,Likouala,Congo,river,Lua; Ubangi,194.5,0.94,False,,osm
MDA008,Cantemir,Moldova,ROU041,Vaslui,Romania,river,Prut,74.0,1.0,True,603; yes,osm
JOR004,Balqa,Jordan,PSE003,Ariha (Jericho),West Bank and Gaza,river,Jordan,72.1,1.0,True,King Abdullah Bridge; stairs to the river; yes; جسر الملك حسين,osm
COD011,Sud-Kivu,Democratic Republic of Congo,BDI006,Cibitoke,Burundi,river,Rusizi,70.4,0.94,False,,verified:no-open-bridge
ROU013,Caraş-Severin,Romania,SRB002,Branicevski,Serbia,river,Danube,69.1,0.63,False,,osm
ARM002,Ararat,Armenia,TUR038,Igdir,Türkiye,river,Aras,67.0,1.0,False,,verified:no-open-bridge
COD011,Sud-Kivu,Democratic Republic of Congo,TZA010,Kigoma,Tanzania,lake,Lake Tanganyika,64.5,1.0,False,,huge-lake/knowledge
BRA025,Rio Grande Do Sul,Brazil,URY019,Treinta Y Tres,Uruguay,lake,Lagoa Mirim,62.1,1.0,False,,huge-lake/knowledge
CHN018,Liaoning Sheng,China,PRK001,Chagang-do,D. P. R. of Korea,river,Yalu; Supung Reservoir,61.2,1.0,False,,osm
RUS042,Leningradskaya Oblast,Russian Federation,EST004,Ida-Viru maakond,Estonia,river,Narva,59.7,0.96,True,Sõpruse sild / Нарвский мост Дружбы; yes,recheck2:physical-link-border-closed:Narva vehicles closed 2024
BGR027,Vidin,Bulgaria,ROU018,Dolj,Romania,river,Danube,57.7,0.87,True,Podul Noua Europă - Мостът „Нова Европа“; yes,osm
SWE012,Oestergoetlands Laen,Sweden,SWE021,Vaestra Goetalands Laen,Sweden,lake,Vättern,56.2,1.0,False,,huge-lake/knowledge
