filename,authors,year,title,category,oa_status,matched_bib_key,journal,doi,keywords,cited_by
Zheng and Sun_The short-range and remote analysis of virtual water trade in China.pdf,,0,Zheng and Sun_The short-range and remote analysis of virtual water trade in China,Telecoupling,non-OA,,,,,
Garrett et al. - 2013 - Globalization_s unexpected impact on soybean production in South America linkages between preferenc.pdf,Garrett et al.,2013,Globalization_s unexpected impact on soybean production in South America linkages between preferenc,Telecoupling,OA,garrett_globalizations_2013,ENVIRONMENTAL RESEARCH LETTERS,10.1088/1748-9326/8/4/044055,agriculture; asia; biome; certification; commerce; competition; competitive advantage; crop production; environmental certification; environmental quality; europe; european countries; food supply; globalization; glycine max; incentive; international trade; land use; land use change; multi-stakeholder initiatives; south america; soybean; soybean production; stakeholder; supply chain structures; supply chains; telecoupling; trade,77
Liu - 2014 - Forest Sustainability in China and Implications for a Telecoupled World.pdf,Liu,2014,Forest Sustainability in China and Implications for a Telecoupled World,Telecoupling,OA,,,,,
Seaquist et al. - 2014 - Architecture of the global land acquisition system applying the tools of network science to identif.pdf,Seaquist et al.,2014,Architecture of the global land acquisition system applying the tools of network science to identif,Telecoupling,OA,seaquist_architecture_2014,ENVIRONMENTAL RESEARCH LETTERS,10.1088/1748-9326/9/11/114006,commerce; complex network; complex networks; cumulative distribution; developed countries; global acquisition; global perspective; globalization; international agreement; international trade; land grabbing; land systems; land systems science; land use planning; landownership; less developed countries; mergers and acquisitions; network security; regionalization; telecoupling; vulnerability,45
"Baird and Fox - 2015 - How Land Concessions Affect Places Elsewhere Telecoupling, Political Ecology, and Large-Scale Plant.pdf",Baird and Fox,2015,"How Land Concessions Affect Places Elsewhere Telecoupling, Political Ecology, and Large-Scale Plant",Telecoupling,OA,baird_how_2015,LAND,10.3390/land4020436,cambodia; economic land concessions; land grabbing; laos; political ecology; teleconnections; telecoupling; transnational; vietnam,85
Crona et al. - 2015 - Using social-ecological syndromes to understand impacts of international seafood trade on small-scal.pdf,Crona et al.,2015,Using social-ecological syndromes to understand impacts of international seafood trade on small-scal,Telecoupling,OA,crona_using_2015,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,10.1016/j.gloenvcha.2015.07.006,china; climate change; cross-scale; debt; fishery economics; food market; global change; globalization; impacts; institutional framework; international trade; meta-analysis; patron-client relations; seafood; seafood trade; small scale industry; small-scale fisheries; syndromes; telecommunication; teleconnectivity; telecouplings; vulnerability,124
"Kastner et al. - 2015 - Global Human Appropriation of Net Primary Production for Biomass Consumption in the European Union,.pdf",Kastner et al.,2015,"Global Human Appropriation of Net Primary Production for Biomass Consumption in the European Union,",Telecoupling,OA,,,,,
Liu et al. - 2015 - Multiple telecouplings and their complex interrelationships.pdf,Liu et al.,2015,Multiple telecouplings and their complex interrelationships,Telecoupling,OA,liu_multiple_2015,ECOLOGY AND SOCIETY,10.5751/ES-07868-200344,ailuropoda melanoleuca; china; conservation; cross-scale interactions; endangered species; environmental impact; environmental interactions; giant panda (ailuropoda melanoleuca); human-environment interactions; information dissemination; nature conservation; nature reserve; nature-society relations; sichuan; socioeconomic impact; socioeconomic interactions; sustainability; telecoupling; telecoupling framework; wolong nature reserve,138
Baumann and Kuemmerle - 2016 - The impacts of warfare and armed conflict on land systems.pdf,Baumann and Kuemmerle,2016,The impacts of warfare and armed conflict on land systems,Telecoupling,non-OA,,,,,
"Carlos Castilla et al. - 2016 - ℡ECOUPLING BETWEEN CATCH, FARMING, AND INTERNATIONAL TRADE FOR THE GASTROPODS CONCHOLEPAS CONCHOLEPA.pdf",Carlos Castilla et al.,2016,"℡ECOUPLING BETWEEN CATCH, FARMING, AND INTERNATIONAL TRADE FOR THE GASTROPODS CONCHOLEPAS CONCHOLEPA",Telecoupling,non-OA,,,,,
Deines et al. - 2016 - Telecoupling in urban water systems an examination of Beijing_s imported water supply.pdf,Deines et al.,2016,Telecoupling in urban water systems an examination of Beijing_s imported water supply,Telecoupling,non-OA,deines_telecoupling_2016,WATER INTERNATIONAL,10.1080/02508060.2015.1113485,beijing; inter-basin transfer; sustainability; telecoupling; urban water management; virtual water,65
Ignacio Gasparri et al. - 2016 - The Emerging Soybean Production Frontier in Southern Africa Conservation Challenges and the Role of.pdf,Ignacio Gasparri et al.,2016,The Emerging Soybean Production Frontier in Southern Africa Conservation Challenges and the Role of,Telecoupling,OA,,,,,
Kozak and Szwagrzyk - 2016 - Have there been forest transitions Forest transition theory revisited in the context of the Modifia.pdf,Kozak and Szwagrzyk,2016,Have there been forest transitions Forest transition theory revisited in the context of the Modifia,Telecoupling,OA,kozak_have_2016,AREA,10.1111/area.12267,carpathians; forest cover; forest transition; gis; land use adjustment; land use change; maup; poland [central europe]; simulation; spatial analysis; telecoupling,16
Leisz et al. - 2016 - Telecouplings in the East-West Economic Corridor within Borders and Across.pdf,Leisz et al.,2016,Telecouplings in the East-West Economic Corridor within Borders and Across,Telecoupling,OA,leisz_telecouplings_2016,REMOTE SENSING,10.3390/rs8121012,land change; land changes; land cover; land use; land-cover; land-use; livelihoods; remote sensing; rural changes; southeast asia; teleconnection; teleconnections; telecoupling; urban growth; urban transportation,21
Schierhorn et al. - 2016 - The dynamics of beef trade between Brazil and Russia and their environmental implications.pdf,Schierhorn et al.,2016,The dynamics of beef trade between Brazil and Russia and their environmental implications,Telecoupling,OA,schierhorn_dynamics_2016,GLOBAL FOOD SECURITY-AGRICULTURE POLICY ECONOMICS AND ENVIRONMENT,10.1016/j.gfs.2016.08.001,amazon; brazil; emissions; globalization; land use change; telecouplings,
