alias_key,alias_display,code,iso_a3
bamian,Bamian,AFG005,AFG
bamiyan,Bamiyan,AFG005,AFG
daikundi,Daikundi,AFG006,AFG
helmand,Helmand,AFG011,AFG
helmand province,Helmand Province,AFG011,AFG
herat,Herat,AFG012,AFG
herat province,Herat Province,AFG012,AFG
jowzjan,Jowzjan,AFG013,AFG
khowst,Khowst,AFG017,AFG
kondoz,Kondoz,AFG019,AFG
qunduz,Qunduz,AFG019,AFG
paktia,Paktia,AFG026,AFG
sar-e-pol,Sar-e-Pol,AFG030,AFG
sari pul,Sari Pul,AFG030,AFG
urozgan,Urozgan,AFG032,AFG
maidan wardak,Maidan Wardak,AFG033,AFG
cuando-cubango,Cuando-Cubango,AGO005,AGO
north cuanza,North Cuanza,AGO006,AGO
south cuanza,South Cuanza,AGO007,AGO
north lunda,North Lunda,AGO012,AGO
south lunda,South Lunda,AGO013,AGO
mocamedes,Moçâmedes,AGO016,AGO
dibra,Dibra,ALB005,ALB
gjirokastra,Gjirokastra,ALB009,ALB
korca,Korca,ALB014,ALB
korcha,Korcha,ALB014,ALB
kruja,Kruja,ALB015,ALB
lezha,Lezha,ALB019,ALB
malesia e madhe,Malesia e Madhe,ALB022,ALB
saranda,Saranda,ALB030,ALB
scutari,Scutari,ALB031,ALB
shkodra,Shkodra,ALB031,ALB
tirana,Tirana,ALB034,ALB
valona,Valona,ALB036,ALB
vlora,Vlora,ALB036,ALB
ras al-khaimah,Ras al-Khaimah,ARE005,ARE
umm al-quwain,Umm al-Quwain,ARE007,ARE
autonomous city of buenos aires,Autonomous City of Buenos Aires,ARG002,ARG
buenos aires city,Buenos Aires City,ARG002,ARG
city of buenos aires,City of Buenos Aires,ARG002,ARG
gegharkunik,Gegharkunik,ARM004,ARM
yerevan city,Yerevan City,ARM011,ARM
styria,Styria,AUT006,AUT
tyrol,Tyrol,AUT007,AUT
vienna,Vienna,AUT009,AUT
agdam,Agdam,AZE004,AZE
agstafa,Agstafa,AZE005,AZE
baki,Baki,AZE009,AZE
fizuli,Fizuli,AZE015,AZE
qabala,Qabala,AZE016,AZE
gedabek,Gedabek,AZE017,AZE
gyanja,Gyanja,AZE019,AZE
kirovabad,Kirovabad,AZE019,AZE
kazakh,Kazakh,AZE020,AZE
djulfa,Djulfa,AZE033,AZE
kelbajar,Kelbajar,AZE034,AZE
stepanakert,Stepanakert,AZE037,AZE
khojali,Khojali,AZE039,AZE
nakhchivan autonomous republic,Nakhchivan Autonomous Republic,AZE048,AZE
nakhichevan,Nakhichevan,AZE048,AZE
