ADM1_code_A,ADM1_name_A,country_A,ISO_A3_A,WB_region_A,ADM1_code_B,ADM1_name_B,country_B,ISO_A3_B,WB_region_B,cross_country,border_length_km,narrow_border,potential_artifact
AFG001,Badakhshan,Afghanistan,AFG,SAR,AFG024,Nuristan,Afghanistan,AFG,SAR,False,208.5909,False,False
AFG001,Badakhshan,Afghanistan,AFG,SAR,AFG027,Panjsher,Afghanistan,AFG,SAR,False,26.7181,False,False
AFG001,Badakhshan,Afghanistan,AFG,SAR,AFG031,Takhar,Afghanistan,AFG,SAR,False,264.7982,False,False
AFG001,Badakhshan,Afghanistan,AFG,SAR,PAK005,Khyber Pakhtunkhwa,Pakistan,PAK,SAR,True,347.5337,False,False
AFG001,Badakhshan,Afghanistan,AFG,SAR,TJK001,Badakhshan Autonomous Mountainous Region,Tajikistan,TJK,ECA,True,877.9218,False,False
AFG001,Badakhshan,Afghanistan,AFG,SAR,TJK004,Khatlon Province,Tajikistan,TJK,ECA,True,111.8314,False,False
AFG002,Badghis,Afghanistan,AFG,SAR,AFG008,Faryab,Afghanistan,AFG,SAR,False,175.7875,False,False
AFG002,Badghis,Afghanistan,AFG,SAR,AFG010,Ghor,Afghanistan,AFG,SAR,False,136.3065,False,False
AFG002,Badghis,Afghanistan,AFG,SAR,AFG012,Hirat,Afghanistan,AFG,SAR,False,285.2321,False,False
AFG002,Badghis,Afghanistan,AFG,SAR,TKM004,Mary,Turkmenistan,TKM,ECA,True,211.264,False,False
AFG003,Baghlan,Afghanistan,AFG,SAR,AFG005,Bamyan,Afghanistan,AFG,SAR,False,81.9564,False,False
AFG003,Baghlan,Afghanistan,AFG,SAR,AFG019,Kunduz,Afghanistan,AFG,SAR,False,122.4681,False,False
AFG003,Baghlan,Afghanistan,AFG,SAR,AFG027,Panjsher,Afghanistan,AFG,SAR,False,104.3977,False,False
AFG003,Baghlan,Afghanistan,AFG,SAR,AFG028,Parwan,Afghanistan,AFG,SAR,False,147.1928,False,False
AFG003,Baghlan,Afghanistan,AFG,SAR,AFG029,Samangan,Afghanistan,AFG,SAR,False,166.969,False,False
AFG003,Baghlan,Afghanistan,AFG,SAR,AFG031,Takhar,Afghanistan,AFG,SAR,False,140.7361,False,False
AFG004,Balkh,Afghanistan,AFG,SAR,AFG003,Baghlan,Afghanistan,AFG,SAR,False,4.1062,True,False
AFG004,Balkh,Afghanistan,AFG,SAR,AFG013,Jawzjan,Afghanistan,AFG,SAR,False,137.182,False,False
AFG004,Balkh,Afghanistan,AFG,SAR,AFG019,Kunduz,Afghanistan,AFG,SAR,False,49.217,False,False
AFG004,Balkh,Afghanistan,AFG,SAR,AFG029,Samangan,Afghanistan,AFG,SAR,False,235.0491,False,False
AFG004,Balkh,Afghanistan,AFG,SAR,AFG030,Sar-e-Pul,Afghanistan,AFG,SAR,False,179.4782,False,False
AFG004,Balkh,Afghanistan,AFG,SAR,TJK004,Khatlon Province,Tajikistan,TJK,ECA,True,43.3499,False,False
AFG004,Balkh,Afghanistan,AFG,SAR,TKM003,Chardzhou,Turkmenistan,TKM,ECA,True,28.4011,False,False
