level,code_a,code_b,has_bridge,water_type,water_body,note
adm1,CHN019,RUS014,True,river,Argun’; Hailar; Heilong Jiang,
adm1,BRA004,PER016,False,river,Amazonas; Javari,
adm1,AFG001,TJK001,True,river,Pamir; Panj,
adm1,GUY004,SUR009,False,river,Corantijn; Courantyne; Kabalebo,
adm1,USA044,MEX028,True,river,Rio Grande; San Juan,
adm1,CAF004,COD012,False,river,Bomu; Chinko; Uele,
adm1,FIN002,SWE010,True,river,Muonio; Tornelven,
adm1,ZAF005,BWA001,True,river,Limpopo; Marico; Mogalakwena,
adm1,ETH006,SSD006,False,river,Akobo,
adm1,ZMB104,COD014,True,river,Luapula; Luvua,
adm1,CHN017,PRK002,True,river,Tumen,
adm1,BRA012,PRY001,False,river,Paraná,
adm1,COD013,COG007,False,river,Ubangi,
adm1,MEX007,GTM012,False,river,Chixoy; Usumacinta,
adm1,ZMB109,ZWE008,True,river,Chobe; Gwayi; Zambezi,
adm1,CHN017,PRK001,True,river,Yalu,
adm1,CHN011,RUS030,False,river,Amur; Bikin; Ussuri,
adm1,MRT005,SEN014,False,river,Sénégal,
adm1,ZMB109,ZWE011,False,river,Zambezi,
adm1,CIV031,LBR012,True,river,Cess,
adm1,GRC001,TUR027,True,river,Evros,
adm1,HND015,NIC007,False,river,Coco,
adm1,CAF003,TCD018,False,river,Aoukalé; Bahr Aouk,
adm1,COG012,GAB009,False,river,Aïna,
adm1,MOZ001,TZA020,True,river,Ruvuma,
adm1,TKM003,UZB007,True,river,Amu Darya,
adm1,LAO003,THA034,False,river,Mekong,
adm1,AGO005,NAM005,False,river,Cubango; Cuito,
adm1,COL025,PER016,False,river,Putumayo,
adm1,CMR003,COG012,False,river,Dja; Kadéï; Sangha,
adm1,ZAF005,BWA005,False,river,Limpopo; Marico; Notwani,
adm1,CHN017,PRK011,True,river,Tumen; Yalu,
adm1,CMR004,TCD008,False,river,Chari,
adm1,LAO002,THA010,True,river,Lancang,
adm1,COD030,TZA024,False,lake,Lake Tanganyika,
adm1,ARG007,BRA025,True,river,Ibicuí; Uruguay,
adm1,CMR004,TCD004,False,river,Logone,
adm1,AGO013,COD024,False,river,Kasai,
adm1,BFA002,CIV033,False,river,Komoé,
adm1,ETH006,SSD003,False,river,Akobo; Pibor; Sobat,
adm1,NER002,NGA008,False,river,Komadugu Yobe,
adm1,LAO006,THA027,True,river,Mekong,
adm1,BEN002,BFA008,True,river,Oti,
adm1,AGO008,NAM007,False,river,Cunene,
adm1,COL033,VEN003,False,river,Meta; Orinoco,
adm1,CAF004,COD027,False,river,Bomu; Kotto; Uele,
adm1,CAN009,USA036,False,lake,Lake Erie,
adm1,COD017,UGA093,False,river,Semliki,
adm1,BWA007,NAM001,False,river,Cuando; Linyanti,
adm1,MDA006,ROU019,True,river,Prut,
adm1,RWA001,TZA006,True,river,Kagera,
adm1,ROU027,UKR023,True,river,Tisza,
adm1,BFA013,GHA008,False,river,Mouhoun,
adm1,BDI013,TZA006,True,river,Kagera,
adm1,MDA030,UKR021,False,river,Dniester,
adm1,UGA026,UGA040,False,lake,Lake Victoria,
adm1,MOZ010,ZMB105,False,river,Luangwa; Zambezi,
adm1,USA023,USA024,False,lake,Lake Superior,
adm1,BRA020,PRY007,False,lake,Represa Itaipu,
adm1,USA014,USA023,False,lake,Lake Michigan,
adm1,ARG007,URY001,False,river,Uruguay,
adm1,ZAF005,ZWE009,True,river,Limpopo; Umzingwani,
adm1,TZA016,TZA021,False,lake,Lake Victoria,
adm1,HUN012,SVK004,True,river,Danube,
adm1,COD029,COG007,False,river,Lua; Ubangi,
adm1,MDA008,ROU041,True,river,Prut,
adm1,JOR004,PSE003,True,river,Jordan,
adm1,COD011,BDI006,False,river,Rusizi,
adm1,ROU013,SRB002,False,river,Danube,
adm1,ARM002,TUR038,False,river,Aras,
adm1,COD011,TZA010,False,lake,Lake Tanganyika,
adm1,BRA025,URY019,False,lake,Lagoa Mirim,
adm1,CHN018,PRK001,False,river,Yalu,
adm1,RUS042,EST004,True,river,Narva,
adm1,BGR027,ROU018,True,river,Danube,
adm1,SWE012,SWE021,False,lake,Vättern,
adm1,ARG007,PRY013,True,river,Paraná,
adm1,HRV009,SVN009,True,river,Mur,
adm1,LSO005,ZAF002,True,river,Caledon,
adm1,POL004,UKR022,True,river,Bug,
adm1,MOZ008,TZA020,False,river,Ruvuma,
adm1,COD029,CAF006,False,river,Lobaye; Ubangi; Uele,
adm1,UGA026,UGA075,False,lake,Lake Victoria,
adm1,HUN008,SVK007,True,river,Danube,
adm1,AZE051,IRN004,False,river,Aras,
adm1,SSD002,UGA081,False,river,Albert Nile; Bahr el Jebel,
adm1,AFG004,TJK004,False,river,Amu Darya,
adm1,LAO012,THA071,False,river,Mekong,
adm1,COD025,COG009,False,river,Congo,
adm1,HRV009,HUN020,True,river,Mur,
adm1,LSO001,ZAF002,False,river,Caledon,
adm1,MDA024,UKR021,True,river,Dniester,
adm1,SWE014,SWE016,True,lake,Mälaren,
adm1,MDA019,ROU007,False,river,Prut,
adm1,BIH002,SRB020,True,river,Drina; Sava,
adm1,RUS061,EST004,False,river,Narva,
adm1,HRV018,HUN002,False,river,Mur,
adm1,ZAF001,LSO006,False,river,Orange,
adm1,UGA040,UGA082,False,lake,Lake Victoria,
adm1,BWA010,ZAF007,True,river,Molopo,
adm1,UGA026,UGA084,False,lake,Lake Victoria,
adm1,AGO014,COD021,False,river,Kwango,
adm1,LAO012,THA001,False,river,Mekong,
adm1,BDI011,COD011,False,lake,Lake Tanganyika,
adm1,GHA015,TGO002,False,river,Oti,
adm1,IND005,NPL001,True,river,Gandak,
adm1,IRN001,AZE012,False,river,Aras,
adm1,LAO014,THA020,False,river,Mekong,
adm1,LAO012,THA027,False,river,Mekong,
adm1,TZA016,UGA075,False,lake,Lake Victoria,
